,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,ate,ate_hat,ate_error,policy_risk,baseline
43,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.253913796768364,0.250513796768364,0.0416204329493413,COM-SL
44,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.1616285212657803,0.15822852126578033,0.0416204329493413,RW
45,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.28955742494885667,0.28615742494885665,0.0416204329493413,RW-SL
46,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.15187505050880168,0.1484750505088017,0.0416204329493413,Proxy Oracle
47,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,-0.0034,-0.01437113051887541,0.01097113051887541,0.045369358270655524,Target Oracle
48,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,0.02100338167609217,0.02440338167609217,0.0407716316872975,OBS
49,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,0.01109027244658281,0.014490272446582811,0.040439662380558176,OBS Oracle
50,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,-0.1911938819946543,0.18779388199465433,0.037847252761347726,COM
51,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,-0.28836397235830696,0.28496397235830695,0.03931861475135374,COM-SL
52,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,-0.2721886841257825,0.2687886841257825,0.03931861475135374,RW
53,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,-0.27647391404552885,0.27307391404552883,0.03931861475135374,RW-SL
54,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,-0.27679569527222664,0.2733956952722266,0.03931861475135374,Proxy Oracle
55,0.3,0,0.1,0,0.005795471835881472,0.17438292503356934,1.6514293868224377e-19,0.9856046712957323,ohie,12994,-0.0034,-0.00825776136550023,0.004857761365500229,0.03791946834889731,Target Oracle
56,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,0.0443508001764918,0.0477508001764918,0.04291487801546682,OBS
57,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.06327545329411463,0.05987545329411463,0.04196917864640436,OBS Oracle
58,0.3,0,0.1,0,0.003843291662633419,0.10791492462158203,0.2592200040817261,0.7361039400566369,ohie,12994,-0.0034,-0.2971637382617227,0.2937637382617227,0.0402895648558188,COM
