,alpha_0,alpha_1,beta_0,beta_1,alpha_0_hat,beta_0_hat,alpha_1_hat,beta_1_hat,benchmark,NS,AU-ROC,ACC,do,baseline
65,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.45172473663749013,0.9638368812516029,1,OBS
66,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.6966255181113714,0.9463965119261349,0,OBS Oracle
67,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.7079289949762021,0.9587073608617595,1,OBS Oracle
68,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3861010992971707,0.9540907925109002,0,COM
69,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3663031867712945,0.9638368812516029,1,COM
70,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3829113353757434,0.9387022313413695,0,COM-SL
71,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3642140266249967,0.9638368812516029,1,COM-SL
72,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3708235718147414,0.9540907925109002,0,RW
73,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.37780772177746574,0.9638368812516029,1,RW
74,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3779922808914519,0.945114131828674,0,RW-SL
75,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3809801501477698,0.9638368812516029,1,RW-SL
76,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.4029569892473118,0.9540907925109002,0,Proxy Oracle
77,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.3833391837366337,0.9638368812516029,1,Proxy Oracle
78,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.6650087102781282,0.9469094639651192,0,Target Oracle
79,0.2,0,0.2,0,0.0004646480083465576,0.24405306577682495,0.24008648097515106,0.755567568121478,ohie,12994,0.6939974862138077,0.9581944088227751,1,Target Oracle
80,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.4217287850010116,0.9543472685303924,0,OBS
81,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.4135386622085867,0.9628109771736343,1,OBS
82,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.6733359704561719,0.9448576558091818,0,OBS Oracle
83,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.7272426652949497,0.9466529879456271,1,OBS Oracle
84,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.41706198345859663,0.9543472685303924,0,COM
85,0.2,0,0.2,0,0.00012970934039913118,0.37464961409568787,6.765438496968493e-16,0.9870533430948853,ohie,12994,0.3693210001285985,0.9628109771736343,1,COM
